Name,R [mm],P5 - rad2 [mm],H [mm],T [C],Max coating stress [MPa],Max substrate-coating normal stress [MPa],Max substrate-coating shear stress [MPa],Min substrate-coating shear stress [MPa],Contact stress [Mpa],Substrate stress 0.1 mm under coating interface[MPa],Substrate stress 0.2 mm under coating interface[MPa],Substrate stress 0.3 mm under coating interface[MPa]
DP 0,16,16,0.1,1000,487.659112646072,149.743263244629,128.190979003906,-128.129776000977,601.363006591797,177.100371774172,203.327264868708,228.323467946954
DP 20,16,16,0.1,800,454.138442461154,171.715377807617,144.854934692383,-144.787353515625,661.066833496094,266.945214810733,264.750599095275,262.773946913098
DP 21,16,16,0.15,800,443.419587545714,120.312599182129,157.225051879883,-157.157577514648,714.503692626953,274.167644353655,271.491889007411,268.077534954381
DP 22,16,16,0.2,800,435.464141846587,91.4827842712402,160.09912109375,-163.946105957031,667.952880859375,279.948388459724,275.444307516116,270.437145098305
DP 23,16,16,0.25,800,430.014350235207,73.162727355957,162.537307739258,-166.400619506836,749.721954345703,281.721921619566,275.930298383689,269.443101851486
DP 24,16,16,0.3,800,432.540336921296,60.3243846893311,162.927444458008,-166.787704467773,728.017272949219,284.927211335517,278.100052957544,270.436373196596
DP 25,18,18,0.1,800,456.343045947877,170.304374694824,145.595489501953,-143.385681152344,655.401306152344,269.052569228336,267.498992869715,264.278214815466
DP 26,18,18,0.15,800,455.057591630121,121.327919006348,151.359466552734,-148.146728515625,706.612091064453,275.011608035212,272.05244112484,267.2574247894
DP 27,18,18,0.2,800,447.217215826236,92.0927238464356,154.927124023438,-153.294525146484,708.164855957031,280.10592964847,275.177325575805,270.02008557609
DP 28,18,18,0.25,800,461.895463266976,72.8142433166504,157.102554321289,-155.414581298828,669.180328369141,283.9832331008,277.961941085508,271.60196252605
DP 29,18,18,0.3,800,458.581569316056,60.1408977508545,158.740829467773,-155.757125854492,666.212860107422,285.902270254052,278.867047377973,271.347767081307
DP 30,20,20,0.1,800,448.555962178038,173.368019104004,145.891311645508,-145.445526123047,689.640533447266,269.065011144522,266.513069314486,263.53394594555
DP 31,20,20,0.15,800,432.955116805466,120.469917297363,150.760818481445,-150.338882446289,717.78857421875,274.810927111918,271.16770545346,266.556486750715
